dataset,n,method,group,n_test,status,CDE_loss__before,CDE_loss__after,log_lik__before,log_lik__after,CRPS__before,CRPS__after,PIT_KS__before,PIT_KS__after,coverage_90__before,coverage_90__after,interval_width__before,interval_width__after,coverage_abs_err__before,coverage_abs_err__after
Abalone,1000,FlexCode-RF,baseline,250,ok,-0.1935929901895979,-0.20514215791368406,-2.2382415991974414,-2.1802887874935855,1.0958136510777612,1.0568381122043662,0.0919129772698084,0.045275228912730836,0.96,0.92,10.77778976291648,7.547474847222829,0.05999999999999994,0.020000000000000018
Abalone,1000,TabPFN-2.5,foundation,250,ok,-0.9255949547679703,-0.9146257896488311,-0.7121234772358032,-0.7329179099681101,0.9610782238385527,0.9644501940056188,0.07220712741876428,0.03398278452036557,0.9,0.88,5.391280959990328,5.057027599988864,0.0,0.020000000000000018
Abalone,1000,RealTabPFN-2.5,foundation,250,ok,-0.9407474170490668,-0.9696907298768452,-0.7617592720555013,-0.7675928868502824,0.9512186595703102,0.9540636724669768,0.06558478109601312,0.03258991909558617,0.916,0.876,5.71640052021005,5.162590402591597,0.016000000000000014,0.02400000000000002
Abalone,1000,TabICL-Quantiles,foundation,250,ok,-0.21697232454057017,-0.21675356430138418,-2.011967211908029,-2.01370219331874,0.9802088302843952,0.9802446274783899,0.08097042280680522,0.03815162408686301,0.932,0.904,5.995863171296494,5.79880424987256,0.03200000000000003,0.0040000000000000036
Abalone,1000,LinearGauss-Homo,baseline,250,ok,-0.16160870406652755,-0.18753605322352862,-2.1705825517094275,-2.0760213036813746,1.0989340620319892,1.0702885373471027,0.13863584438739185,0.04266632022116956,0.932,0.884,7.175420455829426,5.837880705142452,0.03200000000000003,0.016000000000000014
Abalone,1000,LinearGauss-Hetero,baseline,250,ok,-0.1881200297888918,-0.1961709100556756,-2.060041525460793,-2.0314339371531354,1.0935580314077742,1.09250648311472,0.08282997712765132,0.03919815329826848,0.928,0.888,6.585907035749047,5.6135704937139135,0.028000000000000025,0.01200000000000001
Abalone,1000,Student-t,baseline,250,ok,-0.17722246720001256,-0.18709742679318855,-2.052632073440556,-2.0236675230412056,1.0759913488240918,1.0675493256346662,0.11491466878406897,0.03801948635313068,0.932,0.9,6.68356902085726,5.952161006965708,0.03200000000000003,0.0
Abalone,1000,LogNormal-Homo,baseline,250,ok,-0.18389561269407548,-0.18688681943952407,-1.9909989239892343,-1.9842362393736317,1.0729118196358114,1.0771759833755223,0.08464022984589303,0.03633896701948691,0.912,0.892,6.340703782837174,5.99660659189231,0.01200000000000001,0.008000000000000007
Abalone,1000,LogNormal-Hetero,baseline,250,ok,-0.1907395371571878,-0.18946202359341885,-1.9859625451436296,-1.9944517054052926,1.0963540738891306,1.10396749173152,0.054858351487639984,0.03267538409508375,0.912,0.884,6.151190773420187,5.826504837231218,0.01200000000000001,0.016000000000000014
Abalone,1000,MDN,baseline,250,ok,-0.1946474787711403,-0.18290846191330398,-1.945093695727399,-1.971840044768815,1.0438575970653419,1.050270793398372,0.06185614103830492,0.04499400114788379,0.868,0.844,5.819329215700943,5.512930618708706,0.03200000000000003,0.05600000000000005
Abalone,1000,Flow-Spline,baseline,250,ok,-0.20587880278603216,-0.19658735908320346,-1.9110159717765671,-1.935282416112983,1.056154020113964,1.0666291601433655,0.05482277927766946,0.04493268629885677,0.904,0.852,6.2833229837161255,5.769140144768366,0.0040000000000000036,0.04800000000000004
Abalone,1000,Quantile-Tree,baseline,250,ok,-0.24308304907552422,-0.22861368624413722,-2.44052219426416,-2.4467651071663976,1.0897853948952922,1.0917762149093093,0.05374576381327409,0.032430212388149915,0.896,0.852,7.1521895242018525,6.220663439619149,0.0040000000000000036,0.04800000000000004
Abalone,1000,Gamma-GLM,baseline,250,ok,-0.1814325476998295,-0.18649962282919705,-2.0131419504425727,-1.9954680487703986,1.0768254162623854,1.0787475380506562,0.09444156303332607,0.03793582804845397,0.928,0.9,6.412678538381413,5.964389096419829,0.028000000000000025,0.0
Abalone,1000,LinGauss-Homo-Ridge,baseline,250,ok,-0.16159996368619417,-0.18631131284950123,-2.1752136087848295,-2.085985081453668,1.1032042633393648,1.075781299930751,0.13554856548908012,0.04532194706391757,0.932,0.88,7.149812073595229,5.813569422169943,0.03200000000000003,0.020000000000000018
Abalone,1000,LinGauss-Hetero-Ridge,baseline,250,ok,-0.18889747184628516,-0.19531191888272564,-2.04821389152944,-2.01147456929418,1.0995453259251136,1.099283225457867,0.09282159558905922,0.04126492137307891,0.924,0.868,6.555529750722559,5.5314439438990135,0.02400000000000002,0.03200000000000003
Abalone,1000,Student-t-Ridge,baseline,250,ok,-0.17639908326823092,-0.18472176034321672,-2.0597889925717454,-2.0345969700603885,1.0816479639576897,1.0739011593428425,0.11461184194219887,0.04102059273202008,0.932,0.896,6.704547404427414,5.965768373837047,0.03200000000000003,0.0040000000000000036
Abalone,1000,LogNormal-Homo-Ridge,baseline,250,ok,-0.1834742703993697,-0.1868113862588706,-1.9948814401030426,-1.9883072851957937,1.0784443640681962,1.0826598942934762,0.07802705921031117,0.03860288260078659,0.916,0.88,6.3251083695276185,5.905401288021412,0.016000000000000014,0.020000000000000018
Abalone,1000,LogNormal-Hetero-Ridge,baseline,250,ok,-0.19271744719782427,-0.1925715034951615,-1.97564074207328,-1.978883802999488,1.0832823956558724,1.0909537138423113,0.06312686550326019,0.036467007849285915,0.908,0.884,6.097792340362916,5.676973386721878,0.008000000000000007,0.016000000000000014
Abalone,1000,Gamma-GLM-Ridge,baseline,250,ok,-0.15300787136975008,-0.16429537402999916,-2.1772837169102672,-2.143548064137749,1.2400253854445877,1.2369959033355475,0.09519582524338155,0.04050097206765746,0.9,0.884,7.29607063993423,6.635348907245791,0.0,0.016000000000000014
Abalone,1000,BART-Homo,baseline,250,ok,-0.15489457200169612,-0.180518303963888,-2.2410742242719364,-2.123039775629208,1.1667153387174598,1.1368880269154111,0.1513202565171191,0.04279319024066297,0.92,0.864,7.361185184216493,6.061726519321071,0.020000000000000018,0.03600000000000003
Abalone,1000,BART-Hetero,baseline,250,ok,-0.15680724879170196,-0.17485813876720693,-2.7210536673404433,-2.622396593195321,1.1537660961174616,1.133766022476436,0.16810610544332047,0.10162395551125769,0.704,0.744,3.515240008027866,4.072924803957139,0.19600000000000006,0.15600000000000003
