metric,n,method,group,n_datasets,mean_before,mean_after,mean_delta,median_delta,win_rate
CDE_loss,500,BART-Hetero,baseline,39,-13.028678707742568,-15.591797203717002,-2.563118495974435,-0.017813072945168824,0.8974358974358975
CDE_loss,500,BART-Homo,baseline,39,-12.788618970104357,-23.325265275288405,-10.536646305184046,-0.0020132686137425146,0.8461538461538461
CDE_loss,500,CatMLP,baseline,39,-103.79138155047926,-89.40533060136887,14.386050949110398,0.002848504412691414,0.2564102564102564
CDE_loss,500,FlexCode-RF,baseline,39,-44.73543326306875,-50.70425779934038,-5.968824536271626,-0.0006728331583985003,0.7692307692307693
CDE_loss,500,Flow-Spline,baseline,39,-45.15473373791326,-43.65345403113614,1.5012797067771178,4.652489027702706e-05,0.38461538461538464
CDE_loss,500,Gamma-GLM,baseline,37,-51.37452693089113,-49.92619762868062,1.448329302210509,-3.3284856960699473e-07,0.5405405405405406
CDE_loss,500,Gamma-GLM-Ridge,baseline,39,-41.2766898195605,-41.30964485733022,-0.032955037769721314,1.063972482583312e-07,0.46153846153846156
CDE_loss,500,LinGauss-Hetero-Ridge,baseline,39,-39.14511491021743,-20.551846670148986,18.59326824006845,0.00022274559000742822,0.41025641025641024
CDE_loss,500,LinGauss-Homo-Ridge,baseline,39,-52.597233165949405,-52.011256874159386,0.5859762917900202,-4.706909938714479e-06,0.5641025641025641
CDE_loss,500,LinearGauss-Hetero,baseline,37,-41.76388274486996,-38.14289666476072,3.6209860801092413,2.4925056218143445e-06,0.3783783783783784
CDE_loss,500,LinearGauss-Homo,baseline,37,-52.26850365231732,-51.26388424561275,1.004619406704572,-4.54119418681743e-06,0.5405405405405406
CDE_loss,500,LogNormal-Hetero,baseline,37,-56.723583372551595,-51.39684838483912,5.3267349877124754,0.00033496734009853726,0.2972972972972973
CDE_loss,500,LogNormal-Hetero-Ridge,baseline,39,-55.946187173676336,-53.8126599910352,2.1335271826411466,1.3809395018107284e-05,0.41025641025641024
CDE_loss,500,LogNormal-Homo,baseline,37,-51.556159938340826,-50.05685594566865,1.499303992672175,4.1129880623098323e-07,0.4594594594594595
CDE_loss,500,LogNormal-Homo-Ridge,baseline,39,-51.70872784188245,-50.80813788006427,0.9005899618181806,2.483687665124791e-07,0.48717948717948717
CDE_loss,500,MDN,baseline,39,-53.15807017965761,-49.41939117923073,3.7386790004268797,6.517654453087407e-05,0.3333333333333333
CDE_loss,500,Quantile-Tree,baseline,39,-50.37147263066476,-45.96261112512221,4.408861505542556,2.3471936564043346e-07,0.48717948717948717
CDE_loss,500,Student-t,baseline,37,-52.81553079058669,-51.610388138945225,1.2051426516414645,3.5203043646417517e-07,0.40540540540540543
CDE_loss,500,Student-t-Ridge,baseline,39,-53.33789785037005,-51.928084066705765,1.409813783664278,1.9547912808138505e-06,0.4358974358974359
CDE_loss,500,RealTabPFN-2.5,foundation,39,-218.37122340924748,-214.49495011424332,3.876273295004156,0.001827609197305867,0.23076923076923078
CDE_loss,500,TabICL-Quantiles,foundation,39,-97.99054996185599,-97.05243605527842,0.9381139065775693,0.0021354022857588695,0.2564102564102564
CDE_loss,500,TabPFN-2.5,foundation,39,-237.4324004492718,-238.3230023228668,-0.8906018735949909,0.002761547918084084,0.28205128205128205
CDE_loss,1000,BART-Hetero,baseline,39,6.89560064275752,-13.019439740631507,-19.915040383389027,-0.018632731831233283,1.0
CDE_loss,1000,BART-Homo,baseline,39,-11.17325889054499,-23.009812204772864,-11.836553314227872,-0.002616565428032515,0.8717948717948718
CDE_loss,1000,CatMLP,baseline,39,-96.7270799270177,-93.28968447628952,3.4373954507281734,1.04106885893962e-05,0.38461538461538464
CDE_loss,1000,FlexCode-RF,baseline,39,-48.71396602207313,-52.226676184405626,-3.5127101623324983,-0.02275180482381016,0.9487179487179487
CDE_loss,1000,Flow-Spline,baseline,39,-45.0385555692723,-47.28611069766476,-2.247555128392458,-0.0006091047360514273,0.6923076923076923
CDE_loss,1000,Gamma-GLM,baseline,39,-51.24460799866665,-50.471776582212044,0.772831416454606,-3.486416728107805e-06,0.5897435897435898
CDE_loss,1000,Gamma-GLM-Ridge,baseline,39,-39.99888521310207,-39.832831835648264,0.16605337745381213,-0.0033196970418804955,0.6923076923076923
CDE_loss,1000,LinGauss-Hetero-Ridge,baseline,39,-56.20588365404201,-54.55465786198296,1.6512257920590458,-2.7529782316708654e-07,0.5128205128205128
CDE_loss,1000,LinGauss-Homo-Ridge,baseline,39,-52.81701212823815,-51.89497113646496,0.9220409917731939,-0.0006531913683658699,0.7692307692307693
CDE_loss,1000,LinearGauss-Hetero,baseline,39,-49.278501352213176,-55.50746909707626,-6.2289677448630885,-6.490846995349427e-07,0.5641025641025641
CDE_loss,1000,LinearGauss-Homo,baseline,39,-52.243537342267636,-51.38900396168089,0.8545333805867398,-0.0005820124761292101,0.717948717948718
CDE_loss,1000,LogNormal-Hetero,baseline,39,-41.0148734880017,-50.67573423473029,-9.660860746728593,-8.223972926358104e-05,0.5897435897435898
CDE_loss,1000,LogNormal-Hetero-Ridge,baseline,39,-43.77614515642649,-50.59535253858328,-6.8192073821567964,-1.3204595668593245e-05,0.5897435897435898
