metric,group,500,1000,5000,10000,20000
CDE_loss,Foundation,0.2564102564102564,0.2564102564102564,0.22549019607843138,0.29333333333333333,0.391304347826087
CDE_loss,MDN,0.3333333333333333,0.3076923076923077,0.23529411764705882,0.4,0.1875
CDE_loss,Other baselines,0.5028985507246376,0.6509971509971509,0.6862745098039216,0.7375,0.7265625
CRPS,Foundation,0.24786324786324787,0.38461538461538464,0.4215686274509804,0.4666666666666667,0.41304347826086957
CRPS,MDN,0.4358974358974359,0.41025641025641024,0.3235294117647059,0.4,0.375
CRPS,Other baselines,0.618840579710145,0.7222222222222222,0.803921568627451,0.82,0.86328125
PIT_KS,Foundation,0.9230769230769231,0.9230769230769231,0.9313725490196079,0.9333333333333333,0.9565217391304348
PIT_KS,MDN,0.9743589743589743,1.0,0.9705882352941176,0.96,1.0
PIT_KS,Other baselines,0.9652173913043478,0.9672364672364673,0.9820261437908496,0.98,0.9921875
coverage_abs_err,Foundation,0.5641025641025641,0.6495726495726496,0.9705882352941176,0.9066666666666666,1.0
coverage_abs_err,MDN,0.6153846153846154,0.6923076923076923,0.8235294117647058,0.92,0.9375
coverage_abs_err,Other baselines,0.5956521739130435,0.6680911680911681,0.8986928104575164,0.8575,0.8671875
interval_width,Foundation,0.6324786324786325,0.7948717948717948,0.7549019607843137,0.7866666666666666,0.7608695652173914
interval_width,MDN,0.358974358974359,0.46153846153846156,0.6176470588235294,0.68,0.75
interval_width,Other baselines,0.5608695652173913,0.6068376068376068,0.6094771241830066,0.645,0.640625
log_lik,Foundation,0.27350427350427353,0.3418803418803419,0.4411764705882353,0.49333333333333335,0.5869565217391305
log_lik,MDN,0.4358974358974359,0.5641025641025641,0.38235294117647056,0.6,0.75
log_lik,Other baselines,0.5898550724637681,0.7521367521367521,0.8643790849673203,0.9025,0.9375
